,Date,Close,Pre_Day_Cls,Dif_Btw_Day,Per_Change,Volume
1680,1/24/2019,145.83,144.3,1.53,1.06,20955500
1681,1/25/2019,149.01,145.83,3.18,2.18,22237200
1682,1/28/2019,147.47,149.01,-1.54,-1.03,15508500
1683,1/29/2019,144.19,147.47,-3.28,-2.22,17632100
1684,1/30/2019,150.42,144.19,6.23,4.32,44613200
1685,1/31/2019,166.69,150.42,16.27,10.82,77233600
1686,2/1/2019,165.71,166.69,-0.98,-0.59,30806500
1687,2/4/2019,169.25,165.71,3.54,2.14,20036000
1688,2/5/2019,171.16,169.25,1.91,1.13,22557000
1689,2/6/2019,170.49,171.16,-0.67,-0.39,13281200
1690,2/7/2019,166.38,170.49,-4.11,-2.41,17517600
1691,2/8/2019,167.33,166.38,0.95,0.57,12561400
1692,2/11/2019,165.79,167.33,-1.54,-0.92,12811200
1693,2/12/2019,165.04,165.79,-0.75,-0.45,16292300
1694,2/13/2019,164.07,165.04,-0.97,-0.59,14205100
1695,2/14/2019,163.95,164.07,-0.12,-0.07,12755200
1696,2/15/2019,162.5,163.95,-1.45,-0.88,15504400
1697,2/19/2019,162.29,162.5,-0.21,-0.13,14345400
1698,2/20/2019,162.56,162.29,0.27,0.17,11770700
1699,2/21/2019,160.04,162.56,-2.52,-1.55,15607800
1700,2/22/2019,161.89,160.04,1.85,1.16,15858500
1701,2/25/2019,164.62,161.89,2.73,1.69,18737100
1702,2/26/2019,164.13,164.62,-0.49,-0.3,13784100
1703,2/27/2019,162.81,164.13,-1.32,-0.8,12697500
1704,2/28/2019,161.45,162.81,-1.36,-0.84,11114200
1705,3/1/2019,162.28,161.45,0.83,0.51,11097800
1706,3/4/2019,167.37,162.28,5.09,3.14,18894700
1707,3/5/2019,171.26,167.37,3.89,2.32,28187900
1708,3/6/2019,172.51,171.26,1.25,0.73,21531700
1709,3/7/2019,169.13,172.51,-3.38,-1.96,18306500
1710,3/8/2019,169.6,169.13,0.47,0.28,13184800
1711,3/11/2019,172.07,169.6,2.47,1.46,18884000
1712,3/12/2019,171.92,172.07,-0.15,-0.09,12155300
1713,3/13/2019,173.37,171.92,1.45,0.84,11973300
1714,3/14/2019,170.17,173.37,-3.2,-1.85,18037400
1715,3/15/2019,165.98,170.17,-4.19,-2.46,37135400
1716,3/18/2019,160.47,165.98,-5.51,-3.32,37524200
1717,3/19/2019,161.57,160.47,1.1,0.69,25611500
1718,3/20/2019,165.44,161.57,3.87,2.4,20211500
1719,3/21/2019,166.08,165.44,0.64,0.39,16223000
1720,3/22/2019,164.34,166.08,-1.74,-1.05,16389200
1721,3/25/2019,166.29,164.34,1.95,1.19,12631200
1722,3/26/2019,167.68,166.29,1.39,0.84,15437900
1723,3/27/2019,165.87,167.68,-1.81,-1.08,10620300
1724,3/28/2019,165.55,165.87,-0.32,-0.19,10443000
1725,3/29/2019,166.69,165.55,1.14,0.69,13455500
1726,4/1/2019,168.7,166.69,2.01,1.21,10381500
1727,4/2/2019,174.2,168.7,5.5,3.26,23946500
1728,4/3/2019,173.54,174.2,-0.66,-0.38,27391100
1729,4/4/2019,176.02,173.54,2.48,1.43,17847700
1730,4/5/2019,175.72,176.02,-0.3,-0.17,9594100
1731,4/8/2019,174.93,175.72,-0.79,-0.45,7297400
1732,4/9/2019,177.58,174.93,2.65,1.51,19751000
1733,4/10/2019,177.82,177.58,0.24,0.14,11701500
1734,4/11/2019,177.51,177.82,-0.31,-0.17,8071000
1735,4/12/2019,179.1,177.51,1.59,0.9,12329800
1736,4/15/2019,179.65,179.1,0.55,0.31,10834800
1737,4/16/2019,178.87,179.65,-0.78,-0.43,11215200
1738,4/17/2019,178.78,178.87,-0.09,-0.05,9973700
1739,4/18/2019,178.28,178.78,-0.5,-0.28,11655600
1740,4/22/2019,181.44,178.28,3.16,1.77,13389900
1741,4/23/2019,183.78,181.44,2.34,1.29,19954800
1742,4/24/2019,182.58,183.78,-1.2,-0.65,37289900
1743,4/25/2019,193.26,182.58,10.68,5.85,54148800
1744,4/26/2019,191.49,193.26,-1.77,-0.92,22075000
1745,4/29/2019,194.78,191.49,3.29,1.72,19641300
1746,4/30/2019,193.4,194.78,-1.38,-0.71,23494700
1747,5/1/2019,193.03,193.4,-0.37,-0.19,15996600
1748,5/2/2019,192.53,193.03,-0.5,-0.26,13209500
1749,5/3/2019,195.47,192.53,2.94,1.53,14575400
1750,5/6/2019,193.88,195.47,-1.59,-0.81,13994900
1751,5/7/2019,189.77,193.88,-4.11,-2.12,16253000
1752,5/8/2019,189.54,189.77,-0.23,-0.12,12505700
1753,5/9/2019,188.65,189.54,-0.89,-0.47,12967000
1754,5/10/2019,188.34,188.65,-0.31,-0.16,12578500
1755,5/13/2019,181.54,188.34,-6.8,-3.61,16833300
1756,5/14/2019,180.73,181.54,-0.81,-0.45,17628100
1757,5/15/2019,186.27,180.73,5.54,3.07,16746900
1758,5/16/2019,186.99,186.27,0.72,0.39,12953100
1759,5/17/2019,185.3,186.99,-1.69,-0.9,10485400
1760,5/20/2019,182.72,185.3,-2.58,-1.39,10352000
1761,5/21/2019,184.82,182.72,2.1,1.15,7502800
1762,5/22/2019,185.32,184.82,0.5,0.27,9213800
1763,5/23/2019,180.87,185.32,-4.45,-2.4,12768800
1764,5/24/2019,181.06,180.87,0.19,0.11,8807700
1765,5/28/2019,184.31,181.06,3.25,1.79,14843300
1766,5/29/2019,182.19,184.31,-2.12,-1.15,12797700
1767,5/30/2019,183.01,182.19,0.82,0.45,8581500
1768,5/31/2019,177.47,183.01,-5.54,-3.03,15226500
1769,6/3/2019,164.15,177.47,-13.32,-7.51,56059600
1770,6/4/2019,167.5,164.15,3.35,2.04,46044300
1771,6/5/2019,168.17,167.5,0.67,0.4,19758300
1772,6/6/2019,168.33,168.17,0.16,0.1,12446400
1773,6/7/2019,173.35,168.33,5.02,2.98,16917300
1774,6/10/2019,174.82,173.35,1.47,0.85,14767900
1775,6/11/2019,178.1,174.82,3.28,1.88,15266600
1776,6/12/2019,175.04,178.1,-3.06,-1.72,17699800
1777,6/13/2019,177.47,175.04,2.43,1.39,12253600
1778,6/14/2019,181.33,177.47,3.86,2.18,16773700
1779,6/17/2019,189.01,181.33,7.68,4.24,29459900
1780,6/18/2019,188.47,189.01,-0.54,-0.29,37571400
1781,6/19/2019,187.48,188.47,-0.99,-0.53,21417100
1782,6/20/2019,189.53,187.48,2.05,1.09,14635700
1783,6/21/2019,191.14,189.53,1.61,0.85,22751200
1784,6/24/2019,192.6,191.14,1.46,0.76,15509000
1785,6/25/2019,188.84,192.6,-3.76,-1.95,16750300
1786,6/26/2019,187.66,188.84,-1.18,-0.62,12808600
1787,6/27/2019,189.5,187.66,1.84,0.98,11159000
1788,6/28/2019,193,189.5,3.5,1.85,16378900
1789,7/1/2019,193,193,0,0,14181800
1790,7/2/2019,195,193,2,1.04,9050000
1791,7/3/2019,197.2,195,2.2,1.13,10246100
1792,7/5/2019,196.4,197.2,-0.8,-0.41,11164100
1793,7/8/2019,195.76,196.4,-0.64,-0.33,9723900
1794,7/9/2019,199.21,195.76,3.45,1.76,14698600
1795,7/10/2019,202.73,199.21,3.52,1.77,20571700
1796,7/11/2019,201.23,202.73,-1.5,-0.74,13678500
1797,7/12/2019,204.87,201.23,3.64,1.81,15366300
1798,7/15/2019,203.91,204.87,-0.96,-0.47,16030300
1799,7/16/2019,203.84,203.91,-0.07,-0.03,12132700
1800,7/17/2019,201.8,203.84,-2.04,-1,12083700
1801,7/18/2019,200.78,201.8,-1.02,-0.51,11937900
1802,7/19/2019,198.36,200.78,-2.42,-1.21,12098300
1803,7/22/2019,202.32,198.36,3.96,2,13589000
1804,7/23/2019,202.36,202.32,0.04,0.02,14583700
1805,7/24/2019,204.66,202.36,2.3,1.14,32532500
1806,7/25/2019,200.71,204.66,-3.95,-1.93,39889900
1807,7/26/2019,199.75,200.71,-0.96,-0.48,24434000
1808,7/29/2019,195.94,199.75,-3.81,-1.91,16530800
1809,7/30/2019,197.04,195.94,1.1,0.56,11903600
1810,7/31/2019,194.23,197.04,-2.81,-1.43,14593500
1811,8/1/2019,192.73,194.23,-1.5,-0.77,17777000
1812,8/2/2019,189.02,192.73,-3.71,-1.92,15297000
1813,8/5/2019,181.73,189.02,-7.29,-3.86,23086700
1814,8/6/2019,184.51,181.73,2.78,1.53,18035700
1815,8/7/2019,185.15,184.51,0.64,0.35,15833200
1816,8/8/2019,190.16,185.15,5.01,2.71,14828900
1817,8/9/2019,187.85,190.16,-2.31,-1.21,11058800
1818,8/12/2019,185.37,187.85,-2.48,-1.32,10936300
1819,8/13/2019,188.45,185.37,3.08,1.66,13577000
1820,8/14/2019,179.71,188.45,-8.74,-4.64,18903700
1821,8/15/2019,182.59,179.71,2.88,1.6,12925900
1822,8/16/2019,183.7,182.59,1.11,0.61,12654600
1823,8/19/2019,186.17,183.7,2.47,1.34,9691200
1824,8/20/2019,183.81,186.17,-2.36,-1.27,10083400
1825,8/21/2019,183.55,183.81,-0.26,-0.14,8398200
1826,8/22/2019,182.04,183.55,-1.51,-0.82,10821400
1827,8/23/2019,177.75,182.04,-4.29,-2.36,17323400
1828,8/26/2019,180.36,177.75,2.61,1.47,8773600
1829,8/27/2019,181.3,180.36,0.94,0.52,14399600
1830,8/28/2019,181.76,181.3,0.46,0.25,9386100
1831,8/29/2019,185.57,181.76,3.81,2.1,10128700
1832,8/30/2019,185.67,185.57,0.1,0.05,10774500
1833,9/3/2019,182.39,185.67,-3.28,-1.77,9779400
1834,9/4/2019,187.14,182.39,4.75,2.6,11308000
1835,9/5/2019,190.9,187.14,3.76,2.01,13876700
1836,9/6/2019,187.49,190.9,-3.41,-1.79,15226800
1837,9/9/2019,188.76,187.49,1.27,0.68,14722400
1838,9/10/2019,186.17,188.76,-2.59,-1.37,15455900
1839,9/11/2019,188.49,186.17,2.32,1.25,11761700
1840,9/12/2019,187.47,188.49,-1.02,-0.54,11419800
1841,9/13/2019,187.19,187.47,-0.28,-0.15,11441100
1842,9/16/2019,186.22,187.19,-0.97,-0.52,8444800
1843,9/17/2019,188.08,186.22,1.86,1,9671100
1844,9/18/2019,188.14,188.08,0.06,0.03,9681900
1845,9/19/2019,190.14,188.14,2,1.06,10392700
1846,9/20/2019,189.93,190.14,-0.21,-0.11,19934200
1847,9/23/2019,186.82,189.93,-3.11,-1.64,13327600
1848,9/24/2019,181.28,186.82,-5.54,-2.97,18546600
1849,9/25/2019,182.8,181.28,1.52,0.84,18068300
1850,9/26/2019,180.11,182.8,-2.69,-1.47,16083300
1851,9/27/2019,177.1,180.11,-3.01,-1.67,14656200
1852,9/30/2019,178.08,177.1,0.98,0.55,10740000
1853,10/1/2019,175.81,178.08,-2.27,-1.27,17073000
1854,10/2/2019,174.6,175.81,-1.21,-0.69,16151700
1855,10/3/2019,179.38,174.6,4.78,2.74,16086300
1856,10/4/2019,180.45,179.38,1.07,0.6,10430200
1857,10/7/2019,179.68,180.45,-0.77,-0.43,9178300
1858,10/8/2019,177.75,179.68,-1.93,-1.07,9466900
1859,10/9/2019,179.85,177.75,2.1,1.18,7556900
1860,10/10/2019,180.03,179.85,0.18,0.1,8605000
1861,10/11/2019,184.19,180.03,4.16,2.31,14930500
1862,10/14/2019,183.28,184.19,-0.91,-0.49,7006000
1863,10/15/2019,188.89,183.28,5.61,3.06,15039100
1864,10/16/2019,189.55,188.89,0.66,0.35,10516900
1865,10/17/2019,190.39,189.55,0.84,0.44,9603000
1866,10/18/2019,185.85,190.39,-4.54,-2.38,16874200
1867,10/21/2019,189.76,185.85,3.91,2.1,8122600
1868,10/22/2019,182.34,189.76,-7.42,-3.91,19537600
1869,10/23/2019,186.15,182.34,3.81,2.09,12300400
1870,10/24/2019,186.38,186.15,0.23,0.12,11413500
1871,10/25/2019,187.89,186.38,1.51,0.81,8061200
1872,10/28/2019,189.4,187.89,1.51,0.8,13657900
1873,10/29/2019,189.31,189.4,-0.09,-0.05,13574900
1874,10/30/2019,188.25,189.31,-1.06,-0.56,28734600
1875,10/31/2019,191.65,188.25,3.4,1.81,42286500
1876,11/1/2019,193.62,191.65,1.97,1.03,21711800
1877,11/4/2019,194.72,193.62,1.1,0.57,16371300
1878,11/5/2019,194.32,194.72,-0.4,-0.21,9942000
1879,11/6/2019,191.55,194.32,-2.77,-1.43,10973000
1880,11/7/2019,190.42,191.55,-1.13,-0.59,13473000
1881,11/8/2019,190.84,190.42,0.42,0.22,10760800
1882,11/11/2019,189.61,190.84,-1.23,-0.64,8631200
1883,11/12/2019,194.47,189.61,4.86,2.56,17589300
